Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2018,3MINDIA,EQ,19126.45,18901,19990,18901,19425,19264.55,19368.09,2361,4.57281E+12,728,1170,0.4956
02-01-2018,3MINDIA,EQ,19264.55,19424,19600,18800,18900,18904.05,19166.6,1833,3.51324E+12,868,1042,0.5685
03-01-2018,3MINDIA,EQ,18904.05,18990,19990,18969.95,19388,19400.4,19439.72,4750,9.23386E+12,1379,2676,0.5634
04-01-2018,3MINDIA,EQ,19400.4,19400.5,19750,19152,19500,19449.8,19534.46,1597,3.11965E+12,672,863,0.5404
05-01-2018,3MINDIA,EQ,19449.8,19440,19600.05,19255.35,19350,19367.5,19441.74,867,1.6856E+12,407,517,0.5963
08-01-2018,3MINDIA,EQ,19367.5,19461,19650,19100,19200,19194.05,19304.44,2200,4.24698E+12,688,1681,0.7641
09-01-2018,3MINDIA,EQ,19194.05,19300,19300.05,18874.6,18899,18967.95,19064.58,1203,2.29347E+12,405,850,0.7066
10-01-2018,3MINDIA,EQ,18967.95,18967.95,19089.95,18300.4,18500,18468.55,18634.47,2542,4.73688E+12,899,1891,0.7439
11-01-2018,3MINDIA,EQ,18468.55,18568.65,18568.65,17993.15,18099.95,18091.3,18191.6,2864,5.21007E+12,867,2186,0.7633
12-01-2018,3MINDIA,EQ,18091.3,18091.3,18400,17811,17895,17853.8,18125.17,2149,3.8951E+12,674,877,0.4081
15-01-2018,3MINDIA,EQ,17853.8,18095,18100.05,17922,17940,17943.35,17983.66,911,1.63831E+12,312,707,0.7761
16-01-2018,3MINDIA,EQ,17943.35,17900.05,18200,17551,17725.1,17756.25,17895.75,1342,2.40161E+12,538,851,0.6341
17-01-2018,3MINDIA,EQ,17756.25,17700.05,18180,17678,17944,18008.4,17959.51,1151,2.06714E+12,348,861,0.748
18-01-2018,3MINDIA,EQ,18008.4,18008.4,18199.95,17830,18110,18105.35,18078.72,1208,2.18391E+12,429,741,0.6134
19-01-2018,3MINDIA,EQ,18105.35,18188,18248,18100,18220,18182.15,18176.55,659,1.19783E+12,251,429,0.651
22-01-2018,3MINDIA,EQ,18182.15,18139,19070,18000.1,19000,18806.2,18438.73,1969,3.63059E+12,718,1293,0.6567
